Average Returns,Iteration
-500.0,0
-500.0,5
-500.0,10
-500.0,15
-500.0,20
-500.0,25
-500.0,30
-500.0,35
-500.0,40
-500.0,45
-500.0,50
-312.0,55
-228.0,60
-500.0,65
-312.0,70
-237.0,75
-227.0,80
-240.0,85
-500.0,90
-315.0,95
-326.0,100
-500.0,105
-308.0,110
-500.0,115
-498.0,120
-223.0,125
-310.0,130
-500.0,135
-324.0,140
-500.0,145
