Average Returns,Iteration
-500.0,0
-500.0,5
-500.0,10
-500.0,15
-500.0,20
-500.0,25
-500.0,30
-500.0,35
-275.0,40
-174.0,45
-236.0,50
-160.0,55
-157.0,60
-157.0,65
-158.0,70
-160.0,75
-158.0,80
-153.0,85
-155.0,90
-158.0,95
-159.0,100
-156.0,105
-154.0,110
-154.0,115
-154.0,120
-156.0,125
-156.0,130
-160.0,135
-157.0,140
-106.0,145
