Iteration,Average Returns
0,-1086.2625732421875
5,-1086.2625732421875
10,-1086.2625732421875
15,-1086.2625732421875
20,-1086.2625732421875
25,-1086.2625732421875
30,-1086.2625732421875
35,-1086.2625732421875
40,-727.3023071289062
45,-685.129150390625
50,-563.1832275390625
55,-550.3751831054688
60,-584.0700073242188
65,-597.1317749023438
70,-594.9307861328125
75,-427.8874816894531
80,-472.5625915527344
85,-472.5625915527344
90,-472.1018371582031
95,-472.1018371582031
100,-516.2792358398438
105,-478.8886413574219
110,-493.9183654785156
115,-493.9183654785156
120,-493.9183654785156
125,-355.2012023925781
130,-394.9552917480469
135,-394.9552917480469
140,-394.9552917480469
145,-394.9552917480469
