Iteration	Time	TimestepsThisBatch	PoolSize	MaxEpReturn	LastEpReturn	Episodes	TimestepsSoFar
0	19.274205207824707	1000	2000	198.0680904401623	61.251600036779735	62	2000
1	38.992825508117676	1000	3000	213.2410226652653	213.2410226652653	72	3000
2	58.68184018135071	1000	4000	267.7413415795146	224.89315622274123	81	4000
3	78.25936651229858	1000	5000	276.9540929414168	260.656811829826	90	5000
4	97.90871548652649	1000	6000	289.10398352527625	269.41069072905066	98	6000
5	117.28012156486511	1000	7000	289.10398352527625	274.1899310416803	106	7000
6	136.36241102218628	1000	8000	289.10398352527625	273.52870455867514	114	8000
7	156.4044225215912	1000	9000	289.10398352527625	231.72261561725102	123	9000
8	176.64465975761414	1000	10000	306.28350245256087	227.91255987776216	134	10000
9	196.66556906700134	1000	11000	306.28350245256087	287.76405500015056	142	11000
10	216.90114998817444	1000	12000	306.28350245256087	267.1372829770541	150	12000
11	236.2727439403534	1000	13000	306.28350245256087	253.9632516707889	158	13000
12	255.51863408088684	1000	14000	306.28350245256087	149.3746900618178	167	14000
13	274.9571497440338	1000	15000	306.28350245256087	252.6103612156251	177	15000
14	294.09882497787476	1000	16000	314.9679911586276	314.9679911586276	185	16000
15	313.2642889022827	1000	17000	334.0002066821373	294.65352479205706	193	17000
16	332.6936504840851	1000	18000	381.189955800511	381.189955800511	201	18000
17	351.79312109947205	1000	19000	533.2110269311803	498.3252012668171	209	19000
18	371.16718912124634	1000	20000	533.2110269311803	304.06659822302174	216	20000
19	390.6878139972687	1000	21000	533.2110269311803	314.9093870315083	223	21000
20	410.409161567688	1000	22000	533.2110269311803	301.31384461798723	231	22000
21	430.50315833091736	1000	23000	757.313403293297	757.313403293297	240	23000
22	449.6807565689087	1000	24000	757.313403293297	472.4908506386171	245	24000
23	468.8528823852539	1000	25000	771.7270522899215	771.7270522899215	250	25000
24	488.0270311832428	1000	26000	771.7270522899215	316.57582211044934	254	26000
25	506.9963128566742	1000	27000	771.7270522899215	491.5004303572001	259	27000
26	526.1231875419617	1000	28000	771.7270522899215	602.5447251974771	264	28000
27	545.4379754066467	1000	29000	780.5691709260043	726.2819428368684	268	29000
28	564.5504395961761	1000	30000	842.5540751838918	328.9536399500656	275	30000
29	583.6592297554016	1000	31000	848.5342002796225	695.0571848100637	280	31000
30	603.1306579113007	1000	32000	848.5342002796225	647.0671931993733	284	32000
31	622.183248758316	1000	33000	848.5342002796225	637.4690563085949	288	33000
32	641.378395318985	1000	34000	848.5342002796225	618.5176041517827	293	34000
33	660.7831189632416	1000	35000	848.5342002796225	584.426599834473	298	35000
34	679.9431192874908	1000	36000	848.5342002796225	446.74054095644243	303	36000
35	699.1898727416992	1000	37000	848.5342002796225	327.42374158442004	309	37000
36	718.6015913486481	1000	38000	848.5342002796225	588.5833125666428	314	38000
37	737.6834542751312	1000	39000	848.5342002796225	564.8477982379346	319	39000
38	756.9115524291992	1000	40000	848.5342002796225	729.6275785002396	323	40000
39	776.2254769802094	1000	41000	851.1185073682875	741.0174492222758	326	41000
40	795.3201975822449	1000	42000	851.1185073682875	660.9064064860481	331	42000
41	814.6031310558319	1000	43000	851.1185073682875	691.787447577983	336	43000
42	834.5563952922821	1000	44000	851.1185073682875	793.0363954679009	341	44000
43	854.0073227882385	1000	45000	851.1185073682875	620.6051726753849	345	45000
44	873.6575536727905	1000	46000	851.1185073682875	798.3025827494542	350	46000
45	892.8899960517883	1000	47000	851.1185073682875	378.48715055520967	355	47000
46	912.4062557220459	1000	48000	851.1185073682875	767.6860669716361	360	48000
47	931.965803861618	1000	49000	851.1185073682875	464.0280025166183	365	49000
48	951.4899616241455	1000	50000	851.1185073682875	810.4698020325254	369	50000
49	971.562406539917	1000	51000	1059.966471708408	696.6338830527875	373	51000
50	992.9317829608917	1000	52000	1059.966471708408	674.4011051970003	377	52000
51	1013.0501577854156	1000	53000	1059.966471708408	958.1171782788994	381	53000
52	1032.5762720108032	1000	54000	1287.9143892755164	1287.9143892755164	384	54000
53	1051.8810560703278	1000	55000	1584.9651242051323	1584.9651242051323	387	55000
54	1070.8468794822693	1000	56000	1584.9651242051323	1018.2899938108384	390	56000
55	1089.5605208873749	1000	57000	1584.9651242051323	917.9187070418075	393	57000
56	1108.7827570438385	1000	58000	1584.9651242051323	672.5211062713238	398	58000
57	1128.4889650344849	1000	59000	1584.9651242051323	856.4271857996221	402	59000
58	1147.8864285945892	1000	60000	1584.9651242051323	958.3973599582741	405	60000
59	1167.0968081951141	1000	61000	1584.9651242051323	833.3677088399901	409	61000
60	1186.45871758461	1000	62000	1584.9651242051323	943.0633269937709	413	62000
61	1205.4925982952118	1000	63000	1584.9651242051323	657.5014802239439	417	63000
62	1224.817344903946	1000	64000	1584.9651242051323	847.5155532681962	420	64000
63	1243.9444015026093	1000	65000	1584.9651242051323	773.5953246918158	424	65000
64	1263.0852634906769	1000	66000	1584.9651242051323	962.7602586176811	428	66000
65	1282.2397720813751	1000	67000	1584.9651242051323	321.3467421327933	432	67000
66	1301.3120698928833	1000	68000	1584.9651242051323	980.8595832319031	436	68000
67	1320.5380506515503	1000	69000	1584.9651242051323	315.38563521606983	439	69000
68	1340.0355107784271	1000	70000	1584.9651242051323	291.0086141732627	444	70000
69	1359.139684677124	1000	71000	1584.9651242051323	1273.8486107941778	447	71000
70	1378.359040260315	1000	72000	1584.9651242051323	828.7480375629516	451	72000
71	1397.6244022846222	1000	73000	1584.9651242051323	317.77498875661496	456	73000
72	1416.8744175434113	1000	74000	1584.9651242051323	889.7696306683008	462	74000
73	1436.0621054172516	1000	75000	1584.9651242051323	1190.0467690023854	465	75000
74	1455.1521165370941	1000	76000	2182.0916575340025	2182.0916575340025	466	76000
75	1474.2574162483215	1000	77000	2182.0916575340025	598.421044108562	469	77000
76	1493.5736615657806	1000	78000	2182.0916575340025	601.420576473243	471	78000
77	1512.7830047607422	1000	79000	2182.0916575340025	1348.1665595146399	474	79000
78	1531.9986391067505	1000	80000	2182.0916575340025	1272.7266406260976	477	80000
79	1551.4159181118011	1000	81000	2182.0916575340025	1063.597856325919	480	81000
80	1570.6557486057281	1000	82000	2182.0916575340025	494.20311031240556	483	82000
81	1589.8021807670593	1000	83000	2182.0916575340025	559.3566124509382	487	83000
82	1609.046541929245	1000	84000	2182.0916575340025	911.5497712621413	490	84000
83	1628.1885492801666	1000	85000	2182.0916575340025	888.3676157712101	493	85000
84	1647.523297548294	1000	86000	2182.0916575340025	1205.1464939171462	496	86000
85	1666.6960871219635	1000	87000	2182.0916575340025	909.0820084044833	500	87000
86	1685.8554747104645	1000	88000	2182.0916575340025	866.7271280521381	503	88000
87	1705.2501072883606	1000	89000	2182.0916575340025	845.188049425798	507	89000
88	1724.400065422058	1000	90000	2182.0916575340025	576.7646940803565	511	90000
89	1743.6049976348877	1000	91000	2182.0916575340025	1029.9886367292563	515	91000
