Iteration	Time	TimestepsThisBatch	PoolSize	MaxEpReturn	LastEpReturn	Episodes	TimestepsSoFar
0	9.088582277297974	1000	2000	-5.9997456398870685	-5.9997456398870685	7	2000
1	20.075308561325073	1000	3000	-5.9997456398870685	-7.771985822177895	9	3000
2	33.308130741119385	1000	4000	-5.9997456398870685	-395.2634207698514	10	4000
3	51.83780312538147	1000	5000	15.520921249075348	-6.425570859841391	14	5000
4	71.24719882011414	1000	6000	15.520921249075348	-183.34620886321602	15	6000
5	90.98935127258301	1000	7000	15.520921249075348	10.663875122367692	17	7000
6	111.04842901229858	1000	8000	15.520921249075348	-20.725845273188767	21	8000
7	130.3460681438446	1000	9000	15.520921249075348	-1.8879034274360265	27	9000
8	149.37246179580688	1000	10000	15.520921249075348	8.866169699825651	31	10000
9	168.439599275589	1000	11000	15.520921249075348	-15.951450425012181	35	11000
10	188.17880201339722	1000	12000	15.520921249075348	-388.53885726774377	36	12000
11	208.30751633644104	1000	13000	15.520921249075348	-11.470353163062997	41	13000
12	227.70201635360718	1000	14000	15.520921249075348	-191.85611309296092	42	14000
13	248.06251645088196	1000	15000	15.520921249075348	-23.939888946605294	44	15000
14	269.9945378303528	1000	16000	15.520921249075348	-10.552425904009992	47	16000
15	290.5463156700134	1000	17000	15.520921249075348	-84.3444727288179	50	17000
16	311.4616050720215	1000	18000	15.520921249075348	-1.6855444789678034	52	18000
17	332.3956980705261	1000	19000	15.520921249075348	-21.011425404800146	56	19000
18	353.08008885383606	1000	20000	15.520921249075348	10.863923711301968	58	20000
19	374.5305931568146	1000	21000	15.520921249075348	-49.68301170933545	61	21000
20	396.0287184715271	1000	22000	15.520921249075348	-136.89042736400285	62	22000
21	416.8640236854553	1000	23000	15.520921249075348	-57.03269968472057	63	23000
22	436.81380319595337	1000	24000	15.520921249075348	-32.77751052497094	65	24000
23	456.9652416706085	1000	25000	15.520921249075348	-27.842119521721514	68	25000
24	476.37635803222656	1000	26000	15.520921249075348	4.8366146658694	69	26000
25	495.462685585022	1000	27000	15.520921249075348	-84.5113509224007	71	27000
26	514.7418832778931	1000	28000	15.520921249075348	-14.407255740823457	73	28000
27	535.1558275222778	1000	29000	15.520921249075348	-96.39553627563652	74	29000
28	555.0866093635559	1000	30000	15.520921249075348	-128.94588865869028	75	30000
29	576.5818357467651	1000	31000	15.520921249075348	-61.13169142556998	76	31000
30	597.4362316131592	1000	32000	15.520921249075348	-8.953344894683893	78	32000
31	617.3442394733429	1000	33000	15.520921249075348	-33.47579755358489	79	33000
32	638.333477973938	1000	34000	50.27930181006641	1.7135744070302033	82	34000
33	657.9885230064392	1000	35000	50.27930181006641	36.6576287452756	85	35000
34	677.4645376205444	1000	36000	50.27930181006641	2.150791864140394	87	36000
35	698.8487827777863	1000	37000	50.27930181006641	26.126883347303362	88	37000
36	720.5366678237915	1000	38000	87.1249336513287	87.1249336513287	90	38000
37	742.3602528572083	1000	39000	87.1249336513287	-38.26833013495781	91	39000
38	764.026861667633	1000	40000	87.1249336513287	62.83226939768601	93	40000
39	786.0791082382202	1000	41000	87.1249336513287	72.18355216511134	94	41000
40	808.1101744174957	1000	42000	114.2581041425589	114.2581041425589	95	42000
41	829.67076420784	1000	43000	114.2581041425589	73.64252326045589	96	43000
42	849.9428563117981	1000	44000	114.2581041425589	34.54740028630858	97	44000
43	869.8058876991272	1000	45000	114.2581041425589	43.39220866114337	98	45000
44	889.1212687492371	1000	46000	135.18443484327884	98.7615934509049	101	46000
45	907.8580465316772	1000	47000	135.18443484327884	84.72283765528779	103	47000
46	926.8797793388367	1000	48000	144.86262685846208	144.86262685846208	104	48000
47	946.0062236785889	1000	49000	166.19155368190135	166.19155368190135	105	49000
48	964.9269216060638	1000	50000	166.19155368190135	17.830675275062642	107	50000
49	985.3009548187256	1000	51000	166.19155368190135	134.16726326771308	108	51000
50	1007.3933627605438	1000	52000	166.19155368190135	112.17597955676811	109	52000
51	1028.302178144455	1000	53000	166.19155368190135	92.61858957095079	111	53000
52	1048.7364163398743	1000	54000	166.19155368190135	56.356147282171655	113	54000
53	1068.9630756378174	1000	55000	166.19155368190135	122.70914955552844	115	55000
54	1088.3753533363342	1000	56000	166.19155368190135	143.30217355114038	116	56000
55	1107.3303315639496	1000	57000	267.0257137340089	267.0257137340089	117	57000
56	1127.0297610759735	1000	58000	267.0257137340089	17.33423105365761	119	58000
57	1146.2828333377838	1000	59000	267.0257137340089	158.7641647206003	120	59000
58	1165.3895289897919	1000	60000	353.46532655783716	353.46532655783716	121	60000
59	1184.3737161159515	1000	61000	353.46532655783716	-21.404485406107277	124	61000
60	1203.2350761890411	1000	62000	353.46532655783716	256.1512011679973	125	62000
61	1222.031453371048	1000	63000	368.2258636041381	368.2258636041381	126	63000
62	1240.8256208896637	1000	64000	368.2258636041381	223.14805789888686	127	64000
63	1259.6996331214905	1000	65000	381.71225603209774	114.90720803203335	129	65000
64	1278.6116933822632	1000	66000	381.71225603209774	277.2689143767134	130	66000
65	1297.5597524642944	1000	67000	381.71225603209774	358.5687333179859	131	67000
66	1316.4593269824982	1000	68000	381.71225603209774	67.80065961683857	133	68000
67	1335.364508152008	1000	69000	381.71225603209774	59.8530130716587	136	69000
68	1354.2637293338776	1000	70000	381.71225603209774	283.3944087472197	137	70000
69	1373.0578343868256	1000	71000	381.71225603209774	-17.164865619791026	139	71000
70	1391.7685492038727	1000	72000	381.71225603209774	-94.01983726237555	140	72000
71	1410.7635762691498	1000	73000	381.71225603209774	57.443409418203366	142	73000
72	1429.7012856006622	1000	74000	388.9917205621274	388.9917205621274	143	74000
73	1448.8099410533905	1000	75000	388.9917205621274	301.86415453494885	144	75000
74	1467.6270003318787	1000	76000	388.9917205621274	235.199540501599	145	76000
75	1486.429557800293	1000	77000	388.9917205621274	350.8114547262688	146	77000
76	1505.22997879982	1000	78000	439.3426529900508	439.3426529900508	147	78000
77	1523.9326391220093	1000	79000	439.3426529900508	358.87488803671675	148	79000
78	1543.2780578136444	1000	80000	439.3426529900508	374.215402162158	149	80000
79	1562.1131782531738	1000	81000	439.3426529900508	25.401045556937895	154	81000
80	1580.8731706142426	1000	82000	439.3426529900508	298.41586927520507	155	82000
