Iteration	Time	TimestepsThisBatch	PoolSize	MaxEpReturn	LastEpReturn	Episodes	TimestepsSoFar
0	10.280534982681274	1000	2000	154.46091652083254	40.41798303318337	70	2000
1	22.70045566558838	1000	3000	154.46091652083254	139.01144114159365	88	3000
2	37.12798881530762	1000	4000	202.55768101525396	112.07711819307119	104	4000
3	51.581063985824585	1000	5000	317.24777664637276	117.2351552451139	114	5000
4	66.12316536903381	1000	6000	317.24777664637276	212.9382121765231	121	6000
5	80.7212815284729	1000	7000	423.7197183453243	409.88479539073273	128	7000
6	94.89730739593506	1000	8000	476.7881104667877	287.90523945217683	136	8000
7	109.59979557991028	1000	9000	476.7881104667877	263.7943653244814	145	9000
8	124.06416511535645	1000	10000	476.7881104667877	133.29178736778312	153	10000
9	138.11952757835388	1000	11000	476.7881104667877	289.93248985534797	163	11000
10	152.26425170898438	1000	12000	476.7881104667877	192.21723148125142	175	12000
11	167.12496900558472	1000	13000	476.7881104667877	266.19756751789987	184	13000
12	182.16225600242615	1000	14000	476.7881104667877	17.377747176048526	199	14000
13	196.94239473342896	1000	15000	476.7881104667877	9.303847127517779	226	15000
14	212.0512809753418	1000	16000	476.7881104667877	21.389505725953303	249	16000
15	227.20463466644287	1000	17000	476.7881104667877	109.67780351510031	256	17000
16	241.53123331069946	1000	18000	476.7881104667877	329.4735374642394	263	18000
17	255.77750086784363	1000	19000	476.7881104667877	382.851706217751	270	19000
18	269.8352279663086	1000	20000	476.7881104667877	164.1182164201272	277	20000
19	284.14845299720764	1000	21000	703.8681872804434	221.64593023575725	280	21000
20	298.36471033096313	1000	22000	1167.5270750080301	383.26154044020933	283	22000
21	312.546334028244	1000	23000	1167.5270750080301	248.5060081193222	291	23000
22	326.54894185066223	1000	24000	1167.5270750080301	251.94203461553548	299	24000
23	340.7601363658905	1000	25000	1167.5270750080301	285.75027957260454	308	25000
24	354.9305086135864	1000	26000	1167.5270750080301	177.9175544278896	315	26000
25	368.99329352378845	1000	27000	1167.5270750080301	467.5251719540859	321	27000
26	383.2833573818207	1000	28000	1167.5270750080301	538.0976291541131	326	28000
27	397.8311083316803	1000	29000	1167.5270750080301	448.46185274640203	331	29000
28	412.30776715278625	1000	30000	1167.5270750080301	355.8471227879184	337	30000
29	427.11054968833923	1000	31000	1167.5270750080301	533.0786456265238	342	31000
30	442.17399621009827	1000	32000	1167.5270750080301	715.3042015696677	345	32000
31	456.4278106689453	1000	33000	1167.5270750080301	264.6048180071552	349	33000
32	470.58165192604065	1000	34000	1167.5270750080301	419.76847725691977	352	34000
33	484.656893491745	1000	35000	1167.5270750080301	133.0610499189371	364	35000
34	498.94651675224304	1000	36000	1167.5270750080301	147.28957080755688	375	36000
35	513.0301525592804	1000	37000	1167.5270750080301	167.8995483436607	384	37000
36	527.1499543190002	1000	38000	1167.5270750080301	133.70986924400927	395	38000
37	541.1499652862549	1000	39000	1167.5270750080301	239.21640587010563	404	39000
38	555.6306450366974	1000	40000	1167.5270750080301	274.487684784251	412	40000
39	569.7592823505402	1000	41000	1167.5270750080301	358.2155513554959	419	41000
40	583.864506483078	1000	42000	1167.5270750080301	385.3300562626265	424	42000
41	597.9517784118652	1000	43000	1167.5270750080301	250.96070469200362	431	43000
42	612.2755088806152	1000	44000	1167.5270750080301	238.0185574861215	439	44000
43	626.3575644493103	1000	45000	1167.5270750080301	462.6424093141257	446	45000
44	640.4520153999329	1000	46000	1167.5270750080301	165.39461087142234	452	46000
45	654.5307579040527	1000	47000	1167.5270750080301	219.24960183042563	463	47000
46	668.882420539856	1000	48000	1167.5270750080301	270.0372044032468	470	48000
47	682.9875202178955	1000	49000	1167.5270750080301	346.2937843708807	478	49000
48	697.157304763794	1000	50000	1167.5270750080301	342.8693547752767	485	50000
49	711.3385989665985	1000	51000	1167.5270750080301	218.91968799696832	494	51000
50	725.756933927536	1000	52000	1167.5270750080301	366.2532761860127	499	52000
51	739.8462538719177	1000	53000	1167.5270750080301	460.3557158931882	502	53000
52	753.970899105072	1000	54000	1167.5270750080301	132.43800176522416	507	54000
53	768.0752620697021	1000	55000	1167.5270750080301	153.09334068253847	511	55000
54	782.5281851291656	1000	56000	1167.5270750080301	298.1959138007916	517	56000
55	796.6960899829865	1000	57000	1167.5270750080301	242.8788476513259	521	57000
56	810.7376599311829	1000	58000	1167.5270750080301	253.09048216053316	531	58000
57	824.829639673233	1000	59000	1167.5270750080301	247.36205882650876	538	59000
58	839.7455141544342	1000	60000	1167.5270750080301	290.85663784435894	543	60000
59	854.1868114471436	1000	61000	1167.5270750080301	377.3021588430307	551	61000
60	868.4691116809845	1000	62000	1167.5270750080301	336.34464149000695	558	62000
61	882.9090213775635	1000	63000	1167.5270750080301	282.4707407516768	566	63000
62	897.2655420303345	1000	64000	1167.5270750080301	289.13294357537364	574	64000
63	911.5570113658905	1000	65000	1167.5270750080301	289.606368024538	582	65000
64	925.8145835399628	1000	66000	1167.5270750080301	344.77888971668216	589	66000
65	940.231502532959	1000	67000	1167.5270750080301	162.93391439318634	593	67000
66	954.8422229290009	1000	68000	1167.5270750080301	149.3899772952162	604	68000
67	969.184136390686	1000	69000	1167.5270750080301	23.177283448402076	610	69000
68	984.1847968101501	1000	70000	1167.5270750080301	327.0799818650203	617	70000
69	1000.3883476257324	1000	71000	1167.5270750080301	103.94898889632718	621	71000
70	1015.6016087532043	1000	72000	1167.5270750080301	280.89799582573494	625	72000
71	1030.4942257404327	1000	73000	1167.5270750080301	108.02515370466938	629	73000
72	1044.8285086154938	1000	74000	1167.5270750080301	323.98517679983723	636	74000
73	1059.1238820552826	1000	75000	1167.5270750080301	305.93125019329705	640	75000
74	1073.3284692764282	1000	76000	1167.5270750080301	116.08862375584077	647	76000
75	1087.1793324947357	1000	77000	1167.5270750080301	106.80337281309133	653	77000
76	1101.0211176872253	1000	78000	1167.5270750080301	486.5922111313469	657	78000
77	1114.98686003685	1000	79000	1167.5270750080301	760.4814209333832	664	79000
78	1129.2769005298615	1000	80000	1167.5270750080301	435.836421620066	668	80000
79	1143.8819472789764	1000	81000	1208.9155239228894	309.7713497973051	671	81000
80	1158.3059539794922	1000	82000	1208.9155239228894	538.9046513355735	675	82000
81	1172.4811642169952	1000	83000	1208.9155239228894	758.2387805869616	679	83000
82	1186.651847600937	1000	84000	1208.9155239228894	712.990736063651	683	84000
83	1200.901935338974	1000	85000	1208.9155239228894	1008.676101073102	687	85000
84	1215.0045266151428	1000	86000	1208.9155239228894	290.4349682436418	692	86000
85	1229.1265625953674	1000	87000	1208.9155239228894	392.32302564369814	695	87000
86	1243.352100610733	1000	88000	1821.3385345899362	486.4819087514675	698	88000
87	1257.4246435165405	1000	89000	1821.3385345899362	468.4427700056744	700	89000
88	1271.4919528961182	1000	90000	1896.318269181359	456.8153887691084	705	90000
89	1285.6261653900146	1000	91000	1896.318269181359	1239.7203136459457	706	91000
90	1299.847793340683	1000	92000	2020.68033905848	544.4495607918059	708	92000
91	1313.866981267929	1000	93000	2020.68033905848	585.1350706761594	712	93000
92	1328.0526657104492	1000	94000	2020.68033905848	244.12822437450384	718	94000
93	1342.4608099460602	1000	95000	2020.68033905848	742.3676142550721	723	95000
94	1356.7271966934204	1000	96000	2020.68033905848	168.57987158909535	727	96000
95	1370.8238642215729	1000	97000	2020.68033905848	885.4181868784979	730	97000
96	1384.9185540676117	1000	98000	2020.68033905848	618.0744106462372	733	98000
97	1399.135818719864	1000	99000	2020.68033905848	955.3235350499605	735	99000
98	1413.1367208957672	1000	100000	2020.68033905848	924.5329421759939	737	100000
99	1427.2498846054077	1000	101000	2020.68033905848	1425.4786474395023	740	101000
100	1441.4027962684631	1000	102000	2020.68033905848	1019.3229634796289	742	102000
101	1455.707132101059	1000	103000	2020.68033905848	1844.0585801379095	743	103000
102	1469.8306028842926	1000	104000	2200.0912296970505	727.6438134369542	746	104000
103	1483.9803493022919	1000	105000	2244.2750775505046	2244.2750775505046	747	105000
104	1498.1426990032196	1000	106000	2244.2750775505046	2188.5575832668646	748	106000
105	1512.3614027500153	1000	107000	2244.2750775505046	311.37331236601364	749	107000
106	1526.4490036964417	1000	108000	2244.2750775505046	2137.9835737140984	750	108000
107	1540.5609650611877	1000	109000	2244.2750775505046	165.01326505327825	752	109000
108	1554.7193703651428	1000	110000	2244.2750775505046	2219.726065119031	753	110000
109	1568.9969186782837	1000	111000	2244.2750775505046	708.6310794633124	756	111000
110	1583.2175488471985	1000	112000	2322.1562191660755	2322.1562191660755	757	112000
111	1597.341937303543	1000	113000	2515.5301912915193	425.0338522168428	759	113000
112	1611.5400240421295	1000	114000	2515.5301912915193	1371.913228817799	761	114000
113	1625.7267093658447	1000	115000	2515.5301912915193	2195.478667649227	762	115000
114	1639.8806247711182	1000	116000	2515.5301912915193	447.66489038562827	764	116000
115	1654.027111530304	1000	117000	2515.5301912915193	1670.3600791420397	765	117000
116	1668.242994070053	1000	118000	2574.674372247992	671.6376347437264	768	118000
117	1682.3975217342377	1000	119000	2574.674372247992	564.357362098246	772	119000
118	1696.513133764267	1000	120000	2574.674372247992	886.6024689816176	775	120000
119	1710.7122313976288	1000	121000	2574.674372247992	1237.882321670491	777	121000
120	1725.0189974308014	1000	122000	2574.674372247992	750.4277048182861	780	122000
121	1739.072615146637	1000	123000	2574.674372247992	1416.208811027531	781	123000
122	1753.199616909027	1000	124000	2574.674372247992	492.96482905850263	784	124000
123	1767.5582506656647	1000	125000	2574.674372247992	488.07352226855403	787	125000
124	1781.7437453269958	1000	126000	2574.674372247992	2508.4019981127503	788	126000
125	1795.8098530769348	1000	127000	2574.674372247992	877.8908540730461	790	127000
126	1809.926705121994	1000	128000	2574.674372247992	988.0502402826547	791	128000
127	1824.3039529323578	1000	129000	2613.597195358573	612.1350200313918	795	129000
128	1838.4571080207825	1000	130000	2613.597195358573	657.8962426495868	798	130000
129	1852.599443435669	1000	131000	2613.597195358573	1065.6109169669244	800	131000
130	1866.9128503799438	1000	132000	2613.597195358573	909.8199589948263	802	132000
131	1881.1140143871307	1000	133000	2613.597195358573	943.887011501529	806	133000
132	1895.2427139282227	1000	134000	2613.597195358573	615.2251562492372	807	134000
133	1909.312701702118	1000	135000	2613.597195358573	2580.7798473300177	808	135000
134	1923.741658449173	1000	136000	2613.597195358573	968.0810222366547	810	136000
135	1938.0683465003967	1000	137000	2613.597195358573	45.10245545290257	812	137000
136	1952.2242419719696	1000	138000	2613.597195358573	1658.7119651799198	814	138000
137	1966.3556928634644	1000	139000	2613.597195358573	2235.2480969924586	816	139000
138	1980.7043743133545	1000	140000	2613.597195358573	2373.4523456683146	817	140000
