Iteration,Average Returns
0,6.0
5,128.0
10,226.0
15,69.0
20,500.0
25,500.0
30,135.0
35,500.0
40,500.0
45,350.0
50,500.0
55,88.0
60,500.0
65,500.0
70,97.0
75,500.0
80,387.0
85,216.0
90,500.0
95,500.0
100,500.0
105,231.0
110,471.0
115,500.0
120,254.0
125,113.0
130,500.0
135,500.0
140,500.0
145,500.0
