Iteration,Average Returns
0,0.0
1,0.0
2,0.0
3,0.15
4,0.05
5,0.0
6,0.1
7,0.0
8,0.05
9,0.0
10,0.0
11,0.0
12,0.05
13,0.05
14,0.05
15,0.05
16,0.05
17,0.05
18,0.0
19,0.0
20,0.05
21,0.05
22,0.05
23,0.1
24,0.1
25,0.1
26,0.05
27,0.05
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.1
35,0.05
36,0.05
37,0.1
38,0.0
39,0.0
40,0.0
41,0.1
42,0.05
43,0.05
44,0.05
45,0.1
46,0.05
47,0.0
48,0.05
49,0.05
