Average Returns,Iteration
6.0,0
6.0,10
6.0,20
6.0,30
6.0,40
6.0,50
6.0,60
6.0,70
6.0,80
6.0,90
6.0,100
6.0,110
6.0,120
6.0,130
6.0,140
6.0,150
6.0,160
6.0,170
6.0,180
8.0,190
94.0,200
72.0,210
108.0,220
247.0,230
288.0,240
160.0,249
