Average Returns,Iteration
-1092.7898438420132,0
-1215.7979095044884,5
-900.2297428611507,10
-1329.5358970230398,15
-1421.1131724637714,20
-1343.603741625047,25
-1032.839109351379,30
-1356.2425212447233,35
-1503.854075071196,40
-1420.590041290277,45
-1581.3682381306112,50
-1513.242610160141,55
-1986.0909965287349,60
-1818.8259128345749,65
-1547.818410397714,70
-1401.8233207141116,75
-2026.578864863387,80
-2098.2875860182835,85
-1648.5499722747932,90
-2156.958773287344,95
-2161.416928709432,100
-2180.018826056157,105
-1830.83594101961,110
-1223.477103579234,115
-1189.1726035364468,120
-1458.5448452906428,125
-1284.0247744743867,130
-1210.7703241828312,135
-1505.6303316533417,140
-1759.0756618354292,145
