Average Returns,Iteration
-1183.3167724609375,0
-466.75787353515625,5
-452.248291015625,10
-144.1388397216797,15
-148.9638214111328,20
-131.39715576171875,25
-163.52474975585938,30
-185.48219299316406,35
-154.23744201660156,40
-167.04725646972656,45
-158.9932403564453,50
-185.72344970703125,55
-166.24571228027344,60
-217.92059326171875,65
-161.99917602539062,70
-204.30374145507812,75
-236.45884704589844,80
-151.06915283203125,85
-197.75592041015625,90
-198.5358428955078,95
-182.3708038330078,100
-174.017333984375,105
-154.0111083984375,110
-187.34825134277344,115
-154.50106811523438,120
-178.9189910888672,125
-163.55311584472656,130
-139.14596557617188,135
-193.9720916748047,140
-142.2526092529297,145
