Average Returns,Iteration
-1086.2625732421875,0
-882.6398315429688,5
-678.9556274414062,10
-449.319580078125,15
-169.34024047851562,20
-189.33172607421875,25
-92.19869232177734,30
-97.56818389892578,35
-80.79776000976562,40
-82.92337036132812,45
-83.22191619873047,50
-76.68871307373047,55
-81.23823547363281,60
-79.61701965332031,65
-85.20960998535156,70
-81.37742614746094,75
-86.22061157226562,80
-80.67992401123047,85
-87.55850219726562,90
-87.11900329589844,95
-84.90445709228516,100
-82.08210754394531,105
-87.08905029296875,110
-84.68000030517578,115
-83.30575561523438,120
-75.68476104736328,125
-80.35721588134766,130
-80.14833068847656,135
-93.36302185058594,140
-81.09378051757812,145
