Average Returns,Iteration
6.0,0
154.0,5
124.0,10
62.0,15
364.0,20
267.0,25
354.0,30
500.0,35
166.0,40
139.0,45
500.0,50
500.0,55
277.0,60
500.0,65
500.0,70
125.0,75
42.0,80
500.0,85
500.0,90
500.0,95
500.0,100
500.0,105
110.0,110
500.0,115
500.0,120
500.0,125
71.0,130
500.0,135
500.0,140
224.0,145
