Average Returns,Iteration
0.0,0
0.0,1
0.0,2
0.05,3
0.0,4
0.0,5
0.1,6
0.1,7
0.05,8
0.1,9
0.15,10
0.1,11
0.2,12
0.1,13
0.15,14
0.15,15
0.3,16
0.1,17
0.15,18
0.25,19
0.45,20
0.2,21
0.55,22
0.45,23
0.35,24
0.7,25
0.55,26
0.75,27
0.75,28
0.65,29
0.55,30
0.85,31
0.65,32
0.9,33
0.85,34
0.85,35
0.95,36
1.0,37
1.0,38
1.0,39
1.0,40
1.0,41
1.0,42
1.0,43
1.0,44
1.0,45
1.0,46
0.95,47
1.0,48
1.0,49
