Iteration	Time	TimestepsThisBatch	PoolSize	MaxEpReturn	LastEpReturn	Episodes	TimestepsSoFar
0	8.115230560302734	1000	2000	190.60140761546361	181.39277547029707	61	2000
1	18.026589155197144	1000	3000	209.80877045707442	187.28037095691627	73	3000
2	30.609349250793457	1000	4000	209.80877045707442	177.31987769871787	86	4000
3	45.03207778930664	1000	5000	209.80877045707442	187.32916433866913	97	5000
4	59.28103566169739	1000	6000	214.52337229887743	212.3137408116703	108	6000
5	73.69496083259583	1000	7000	217.82886489285835	181.80457952201976	119	7000
6	88.34582662582397	1000	8000	222.23065546971796	203.70850038570708	132	8000
7	102.26472663879395	1000	9000	257.86364997352166	257.86364997352166	142	9000
8	116.98211121559143	1000	10000	287.58924903774124	258.18414194146146	152	10000
9	131.27199697494507	1000	11000	318.4365348809659	272.0537799894712	160	11000
10	145.25045585632324	1000	12000	440.2019570162388	285.4774215293993	168	12000
11	159.2404944896698	1000	13000	452.34343134674305	52.08890170169094	181	13000
12	174.01446390151978	1000	14000	541.6765736138841	408.18063266470114	189	14000
13	189.0395884513855	1000	15000	541.6765736138841	159.2228358003725	195	15000
14	203.72336220741272	1000	16000	541.6765736138841	337.8486778375605	203	16000
15	218.62765312194824	1000	17000	541.6765736138841	340.9895962926178	212	17000
16	233.75781059265137	1000	18000	545.6972968378464	64.41927238953596	229	18000
17	248.00298070907593	1000	19000	545.6972968378464	20.691107600127108	261	19000
18	262.06130957603455	1000	20000	545.6972968378464	320.25498825406436	271	20000
19	276.2435541152954	1000	21000	545.6972968378464	475.88289886610795	274	21000
20	290.4700267314911	1000	22000	848.8689871895062	196.03858897360232	277	22000
21	304.6286644935608	1000	23000	848.8689871895062	836.5719713578628	278	23000
22	318.65299439430237	1000	24000	951.9909585884338	324.24826763959453	281	24000
23	332.6213119029999	1000	25000	951.9909585884338	156.445550245323	290	25000
24	346.68594908714294	1000	26000	951.9909585884338	148.97292245030346	302	26000
25	360.75848150253296	1000	27000	951.9909585884338	267.31980187621065	310	27000
26	374.74316573143005	1000	28000	951.9909585884338	513.2428619044656	315	28000
27	388.85325860977173	1000	29000	951.9909585884338	180.9260344844966	322	29000
28	403.30908966064453	1000	30000	951.9909585884338	266.4173189659698	328	30000
29	417.63900113105774	1000	31000	951.9909585884338	288.54765060543815	336	31000
30	432.2149546146393	1000	32000	951.9909585884338	193.4128143839477	344	32000
31	447.1948881149292	1000	33000	951.9909585884338	166.27349399781988	360	33000
32	461.3340814113617	1000	34000	951.9909585884338	205.58717898894037	369	34000
33	475.43945264816284	1000	35000	951.9909585884338	4.7931923980719064	378	35000
34	489.4665369987488	1000	36000	951.9909585884338	257.23212635178805	386	36000
35	503.608615398407	1000	37000	951.9909585884338	128.3633783159464	410	37000
36	517.5935528278351	1000	38000	951.9909585884338	70.02764464522801	431	38000
37	531.622314453125	1000	39000	951.9909585884338	21.34929550979514	452	39000
38	545.5548672676086	1000	40000	951.9909585884338	207.05353452735957	464	40000
39	559.8271133899689	1000	41000	951.9909585884338	210.08937199313397	475	41000
40	573.9223520755768	1000	42000	951.9909585884338	259.8414820957687	485	42000
41	587.9923827648163	1000	43000	951.9909585884338	284.04765957840704	493	43000
42	601.8742983341217	1000	44000	951.9909585884338	198.45084174477324	502	44000
43	616.0687804222107	1000	45000	951.9909585884338	189.41008251063332	512	45000
44	630.1889872550964	1000	46000	951.9909585884338	168.52814096683525	519	46000
45	644.1053593158722	1000	47000	951.9909585884338	95.59170798044354	525	47000
46	658.040611743927	1000	48000	951.9909585884338	289.3015488749737	530	48000
47	672.1930060386658	1000	49000	951.9909585884338	197.92135739933582	538	49000
48	686.3365821838379	1000	50000	951.9909585884338	509.27939271282725	540	50000
49	700.3846979141235	1000	51000	1410.7627592045264	60.36422694092325	548	51000
50	714.3285987377167	1000	52000	1410.7627592045264	541.7785324281922	556	52000
51	728.5618238449097	1000	53000	1410.7627592045264	204.17223680170702	560	53000
52	742.6973838806152	1000	54000	1410.7627592045264	123.16648843045064	565	54000
53	756.6624088287354	1000	55000	1410.7627592045264	458.71186943010656	569	55000
54	770.6040952205658	1000	56000	1410.7627592045264	407.4643608368759	574	56000
55	784.7643232345581	1000	57000	1410.7627592045264	280.9913342130056	580	57000
56	798.8785359859467	1000	58000	1410.7627592045264	190.71288932624424	586	58000
57	812.9089250564575	1000	59000	1410.7627592045264	515.8927959325907	592	59000
58	826.9524574279785	1000	60000	1410.7627592045264	255.72378015283425	598	60000
59	841.5191488265991	1000	61000	1410.7627592045264	325.6641565341525	602	61000
60	855.9433569908142	1000	62000	1410.7627592045264	313.35899863949567	610	62000
61	869.9931733608246	1000	63000	1410.7627592045264	823.0829327184771	614	63000
62	884.41712474823	1000	64000	1410.7627592045264	453.8089348047434	619	64000
63	898.6763093471527	1000	65000	1410.7627592045264	587.5153547555382	624	65000
64	912.7117767333984	1000	66000	1410.7627592045264	274.0015777275272	633	66000
65	927.0652282238007	1000	67000	1410.7627592045264	270.7397914599859	641	67000
66	941.4393825531006	1000	68000	1410.7627592045264	60.15291166196542	650	68000
67	955.7549991607666	1000	69000	1410.7627592045264	272.96002754627153	661	69000
68	970.1531639099121	1000	70000	1410.7627592045264	277.3855050869855	668	70000
69	984.4821631908417	1000	71000	1410.7627592045264	382.6586445318035	675	71000
70	1000.2277474403381	1000	72000	1410.7627592045264	629.9027568713399	680	72000
71	1016.1189956665039	1000	73000	1410.7627592045264	690.9013028317864	686	73000
72	1030.8506829738617	1000	74000	1410.7627592045264	1312.4123010568374	689	74000
73	1045.5296664237976	1000	75000	1410.7627592045264	552.1762750621592	693	75000
74	1059.5385937690735	1000	76000	1410.7627592045264	634.9744789093709	699	76000
75	1073.6478970050812	1000	77000	1410.7627592045264	749.0260666254603	704	77000
76	1087.4738166332245	1000	78000	1410.7627592045264	795.2986576014183	706	78000
77	1101.1231877803802	1000	79000	1591.3266756273918	1187.005228745107	709	79000
78	1114.9323024749756	1000	80000	1591.3266756273918	1194.2250954571052	712	80000
79	1128.9720380306244	1000	81000	1591.3266756273918	739.3627149323669	715	81000
80	1143.277638912201	1000	82000	1591.3266756273918	615.3300074233285	721	82000
81	1157.6878283023834	1000	83000	1591.3266756273918	459.2045426105974	725	83000
82	1171.8089308738708	1000	84000	1591.3266756273918	515.9931903553825	730	84000
83	1185.8043313026428	1000	85000	1591.3266756273918	525.6712238848692	735	85000
84	1200.078724861145	1000	86000	1591.3266756273918	530.2944082062648	740	86000
85	1214.0777390003204	1000	87000	1591.3266756273918	625.364117051611	743	87000
86	1228.1688995361328	1000	88000	1591.3266756273918	519.5835079202747	747	88000
87	1242.1488547325134	1000	89000	2519.9337588509998	2519.9337588509998	748	89000
88	1256.1576931476593	1000	90000	2519.9337588509998	495.4815061360306	751	90000
89	1270.1606585979462	1000	91000	2519.9337588509998	481.89371082508796	755	91000
90	1284.1523876190186	1000	92000	2519.9337588509998	400.61931082453253	760	92000
91	1298.2682650089264	1000	93000	2519.9337588509998	1055.7221357158658	764	93000
92	1312.2350523471832	1000	94000	2519.9337588509998	720.1096617618043	767	94000
93	1326.2980542182922	1000	95000	2519.9337588509998	207.07219794571216	772	95000
94	1340.4222557544708	1000	96000	2519.9337588509998	695.2229331775957	776	96000
95	1354.7212224006653	1000	97000	2519.9337588509998	915.0737610680525	779	97000
96	1368.7085230350494	1000	98000	2519.9337588509998	242.39558919580304	784	98000
97	1382.748638868332	1000	99000	2519.9337588509998	1230.3257701196803	787	99000
98	1396.7374770641327	1000	100000	2519.9337588509998	792.5260487648117	789	100000
99	1410.9148030281067	1000	101000	2519.9337588509998	516.0485843137079	793	101000
100	1424.9588572978973	1000	102000	2519.9337588509998	747.104243443424	797	102000
101	1438.9999499320984	1000	103000	2560.466631564492	2560.466631564492	798	103000
102	1452.9858717918396	1000	104000	2560.466631564492	150.5378852810757	801	104000
103	1467.1120908260345	1000	105000	2560.466631564492	966.0681404126858	804	105000
104	1481.2012543678284	1000	106000	2560.466631564492	534.5547746693219	809	106000
105	1495.2135343551636	1000	107000	2560.466631564492	619.9500350903324	813	107000
106	1509.2118034362793	1000	108000	2560.466631564492	589.6134696268952	818	108000
107	1523.3188307285309	1000	109000	2560.466631564492	909.9636140378963	822	109000
108	1537.3141963481903	1000	110000	2560.466631564492	348.259862329188	826	110000
109	1551.3271172046661	1000	111000	2560.466631564492	467.0973238648176	831	111000
110	1565.528198003769	1000	112000	2560.466631564492	529.4698076887587	836	112000
111	1579.6254992485046	1000	113000	2560.466631564492	919.2416471994309	839	113000
112	1593.724722146988	1000	114000	2560.466631564492	1318.0653840519556	842	114000
113	1607.8411922454834	1000	115000	2560.466631564492	535.4009386261814	847	115000
114	1622.0047874450684	1000	116000	2560.466631564492	496.335679534656	852	116000
115	1636.0645747184753	1000	117000	2560.466631564492	520.0770106246649	855	117000
116	1650.1400108337402	1000	118000	2560.466631564492	973.8553309638075	858	118000
117	1664.2643465995789	1000	119000	2560.466631564492	1242.3449767000407	861	119000
118	1678.3390843868256	1000	120000	2560.466631564492	1716.1813983979218	862	120000
119	1692.362689256668	1000	121000	2560.466631564492	905.1834861388784	866	121000
120	1706.2919580936432	1000	122000	2560.466631564492	1540.6430329181303	868	122000
121	1720.4791123867035	1000	123000	2560.466631564492	1055.583713226269	872	123000
122	1734.5356051921844	1000	124000	2560.466631564492	617.4180831709425	874	124000
123	1748.5713074207306	1000	125000	2560.466631564492	1381.373277662215	876	125000
124	1762.5764117240906	1000	126000	2560.466631564492	1488.220969320849	879	126000
125	1776.8700029850006	1000	127000	2560.466631564492	296.68482424032345	883	127000
126	1790.9118912220001	1000	128000	2560.466631564492	790.6219065717655	887	128000
127	1804.969027042389	1000	129000	2560.466631564492	714.8654386537567	891	129000
128	1819.1068127155304	1000	130000	2560.466631564492	732.9431172232505	895	130000
129	1833.347642660141	1000	131000	2560.466631564492	437.57735147682126	899	131000
130	1847.317833185196	1000	132000	2560.466631564492	723.7293345480175	905	132000
131	1861.3505053520203	1000	133000	2560.466631564492	983.824173527788	910	133000
132	1875.572922706604	1000	134000	2560.466631564492	1238.7369813026487	912	134000
133	1889.6708405017853	1000	135000	2560.466631564492	1039.3584454857673	916	135000
134	1903.7035193443298	1000	136000	2560.466631564492	947.875298317042	919	136000
135	1917.77503490448	1000	137000	2560.466631564492	1026.6986947455698	923	137000
136	1932.1123926639557	1000	138000	2560.466631564492	1009.2982012219876	926	138000
137	1946.2774276733398	1000	139000	2560.466631564492	1817.7167621221129	928	139000
138	1960.305525302887	1000	140000	2560.466631564492	518.70265775715	932	140000
139	1974.3300378322601	1000	141000	2560.466631564492	288.47853101788314	936	141000
140	1988.4051020145416	1000	142000	2560.466631564492	762.9574102954628	939	142000
141	2002.4583258628845	1000	143000	2560.466631564492	709.2392961592079	942	143000
142	2016.4557840824127	1000	144000	2560.466631564492	928.5778589363568	946	144000
143	2030.6077513694763	1000	145000	2560.466631564492	1042.5312180451706	949	145000
144	2044.6933035850525	1000	146000	2560.466631564492	1791.0711279891782	950	146000
145	2058.7977175712585	1000	147000	2560.466631564492	515.3012094990861	953	147000
146	2072.733978033066	1000	148000	2560.466631564492	1026.8649380507707	955	148000
147	2086.826297521591	1000	149000	2560.466631564492	2114.922084076245	956	149000
148	2100.9650716781616	1000	150000	2560.466631564492	2466.5344914185043	957	150000
149	2114.9872119426727	1000	151000	2703.695363047796	1708.454978048356	959	151000
150	2129.014972925186	1000	152000	2703.695363047796	1262.0214741452482	960	152000
151	2143.0765357017517	1000	153000	2703.695363047796	1509.8007955190324	962	153000
152	2157.2204163074493	1000	154000	2855.238667142015	2855.238667142015	963	154000
153	2171.26172542572	1000	155000	2855.238667142015	929.3604281623009	967	155000
154	2185.2433421611786	1000	156000	2855.238667142015	2220.2451388516874	969	156000
155	2199.5116238594055	1000	157000	2855.238667142015	620.1274966395804	971	157000
156	2213.617816209793	1000	158000	2960.115530461708	2960.115530461708	972	158000
157	2227.590725183487	1000	159000	2960.115530461708	2408.4941585096617	974	159000
158	2241.587855577469	1000	160000	2960.115530461708	1709.9737074921782	976	160000
159	2255.875170946121	1000	161000	2960.115530461708	2774.850975327521	977	161000
160	2270.084503889084	1000	162000	2960.115530461708	1667.0604052645417	978	162000
161	2284.134496688843	1000	163000	2982.073687587825	1028.448653757837	981	163000
162	2298.207646369934	1000	164000	2982.073687587825	887.1743609646911	983	164000
163	2312.3651139736176	1000	165000	2982.073687587825	2627.5417654815683	984	165000
164	2326.4227356910706	1000	166000	2982.073687587825	2277.3280878912205	985	166000
165	2340.384744644165	1000	167000	2982.073687587825	2615.0872412524736	986	167000
166	2354.50257563591	1000	168000	2982.073687587825	2668.8643057566073	987	168000
167	2368.634559392929	1000	169000	3006.1868964861656	3006.1868964861656	988	169000
