Iteration,Average Returns
0,6.0
10,6.0
20,6.0
30,6.0
40,6.0
50,6.0
60,8.0
70,38.0
80,38.0
90,23.0
100,40.0
110,40.0
120,25.0
130,34.0
140,27.0
150,45.0
160,46.0
170,68.0
180,32.0
190,34.0
200,40.0
210,64.0
220,32.0
230,69.0
240,30.0
249,50.0
