Iteration,Average Returns
0,-1092.2915620815575
10,-1103.5009875248982
20,-2471.439718954018
30,-2074.797792846919
40,-2424.161644445676
50,-2426.6673415803493
60,-2449.902157955784
70,-2617.3939123653045
80,-2456.9473873794736
90,-2455.0500879372407
100,-2438.936672619652
110,-2633.558000601011
120,-2517.561124215514
130,-2455.0688311597387
140,-2629.0789210394737
150,-2919.149640766505
160,-1305.1880741230243
170,-1168.2989464442921
180,-1481.954819420085
190,-760.3012598426423
200,-1276.914365026002
210,-1278.1670534512004
220,-1493.6650277140825
230,-1293.9963890328356
240,-1261.0170201625338
249,-1248.4889372240405
