Iteration,Average Returns
0,-1175.616838534374
10,-478.01630518122784
20,-62.36968488577191
30,-70.35551873127073
40,-81.91418989124216
50,-113.87514452834378
60,-99.39722406411673
70,-104.74424596209462
80,-116.43105353091153
90,-120.61381139602538
100,-104.22825758830257
110,-97.51563398276409
120,-96.10433126328779
130,-117.98687857144064
140,-103.6915302113553
150,-120.80207494162703
160,-96.17403533006443
170,-95.24357935829224
180,-104.7003414784946
190,-98.02249429487223
200,-96.91254602252111
210,-104.4164736636655
220,-111.60483821355875
230,-103.64503997519414
240,-109.3393306564727
249,-100.84268701592826
